,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full,NUMERATOR,DENOMINATOR,diff
0,AimBig Employment AITKENVALE,0212804K,MENH,16.0,47.0,17,70,-23.0
1,AimBig Employment AITKENVALE,0212805A,MUSK,9.0,11.0,9,24,-13.0
2,AimBig Employment AUBURN,0212841E,AALL,28.0,78.0,21,92,-14.0
3,AimBig Employment AUBURN,0212898K,AALL,9.0,59.0,9,74,-15.0
4,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,3.0,19.0,4,36,-17.0
5,AimBig Employment BALLARAT CENTRAL,0212860H,MUSK,1.0,1.0,0,9,-8.0
6,AimBig Employment BANKSTOWN,0212839K,MENH,22.0,104.0,11,69,35.0
7,AimBig Employment BANKSTOWN,0212840D,MUSK,9.0,44.0,15,59,-15.0
8,AimBig Employment BAULKHAM HILLS,0212841E,AALL,11.0,36.0,13,54,-18.0
9,AimBig Employment BAULKHAM HILLS,0212898K,AALL,23.0,52.0,25,87,-35.0
10,AimBig Employment BENDIGO,0212858C,AALL,16.0,22.0,13,47,-25.0
11,AimBig Employment BENDIGO,0212894G,AALL,6.0,16.0,7,34,-18.0
12,AimBig Employment BERRIMAH,0212830B,AALL,6.0,12.0,8,24,-12.0
13,AimBig Employment BERRIMAH,0212891D,AALL,5.0,20.0,3,18,2.0
14,AimBig Employment BLACKTOWN,0212853J,MENH,0.0,1.0,0,11,-10.0
15,AimBig Employment BLACKTOWN,0212854K,MUSK,1.0,1.0,0,3,-2.0
16,AimBig Employment BONDI JUNCTION,0212843G,MUSK,11.0,43.0,15,40,3.0
17,AimBig Employment BROADMEADOW,0212815C,AALL,18.0,61.0,21,65,-4.0
18,AimBig Employment BROADMEADOW,0212884E,AALL,21.0,97.0,24,123,-26.0
19,AimBig Employment BROADMEADOWS,0212817E,AALL,34.0,61.0,39,115,-54.0
20,AimBig Employment BROADMEADOWS,0212886G,AALL,29.0,47.0,36,106,-59.0
21,AimBig Employment BUNBURY,0212810J,MENH,4.0,14.0,5,21,-7.0
22,AimBig Employment BURLEIGH HEADS,0212793B,MENH,23.0,85.0,23,85,0.0
23,AimBig Employment BURWOOD,0212846K,MENH,35.0,67.0,38,107,-40.0
24,AimBig Employment BURWOOD,0212847K,MUSK,12.0,23.0,15,47,-24.0
25,AimBig Employment CABRAMATTA,0212844H,AALL,59.0,201.0,72,174,27.0
26,AimBig Employment CABRAMATTA,0212899A,AALL,21.0,88.0,20,82,6.0
27,AimBig Employment CAIRNS CITY,0212798G,MENH,28.0,92.0,33,73,19.0
28,AimBig Employment CAIRNS CITY,0212799H,MUSK,9.0,36.0,6,28,8.0
29,AimBig Employment CALOUNDRA,0212875D,MUSK,5.0,17.0,4,15,2.0
30,AimBig Employment CAMPBELLTOWN,0212849B,AALL,34.0,148.0,36,109,39.0
31,AimBig Employment CAMPBELLTOWN,0212902B,AALL,19.0,98.0,23,76,22.0
32,AimBig Employment CAMPSIE,0212839K,MENH,14.0,18.0,19,55,-37.0
33,AimBig Employment CAMPSIE,0212840D,MUSK,5.0,15.0,9,25,-10.0
34,AimBig Employment CASINO,0212829J,AALL,5.0,25.0,4,26,-1.0
35,AimBig Employment CASUARINA,0212830B,AALL,4.0,4.0,9,36,-32.0
36,AimBig Employment CASUARINA,0212891D,AALL,7.0,8.0,10,40,-32.0
37,AimBig Employment CESSNOCK,0212813A,AALL,13.0,29.0,13,53,-24.0
38,AimBig Employment CESSNOCK,0212882C,AALL,16.0,34.0,9,42,-8.0
39,AimBig Employment CHARLESTOWN,0212815C,AALL,2.0,2.0,3,17,-15.0
40,AimBig Employment CHARLESTOWN,0212884E,AALL,4.0,4.0,2,11,-7.0
41,AimBig Employment CHERMSIDE,0212795D,AALL,10.0,25.0,14,61,-36.0
42,AimBig Employment CHERMSIDE,0212879H,AALL,11.0,27.0,10,49,-22.0
43,AimBig Employment CHINCHILLA,0212838K,AALL,5.0,32.0,6,23,9.0
44,AimBig Employment CHINCHILLA,0212897K,AALL,4.0,20.0,5,41,-21.0
45,AimBig Employment COFFS HARBOUR,0212826F,AALL,13.0,37.0,8,35,2.0
46,AimBig Employment CORIO,0212862K,AALL,9.0,63.0,6,49,14.0
47,AimBig Employment CORIO,0212895H,AALL,7.0,38.0,9,56,-18.0
48,AimBig Employment CRAIGIEBURN,0212817E,AALL,21.0,48.0,26,105,-57.0
49,AimBig Employment CRAIGIEBURN,0212886G,AALL,15.0,58.0,19,102,-44.0
50,AimBig Employment DALBY,0212838K,AALL,8.0,37.0,14,64,-27.0
51,AimBig Employment DALBY,0212897K,AALL,7.0,55.0,13,59,-4.0
52,AimBig Employment DARLINGHURST,0212845J,AALL,13.0,27.0,12,40,-13.0
53,AimBig Employment DARLINGHURST,0212900K,AALL,6.0,37.0,5,57,-20.0
54,AimBig Employment DARWIN CITY,0212830B,AALL,1.0,7.0,0,4,3.0
55,AimBig Employment DARWIN CITY,0212891D,AALL,1.0,1.0,1,2,-1.0
56,AimBig Employment DEAKIN,0212836H,MUSK,0.0,12.0,0,10,2.0
57,AimBig Employment DEVONPORT,0212868E,MENH,3.0,4.0,3,18,-14.0
58,AimBig Employment DEVONPORT,0212869F,MUSK,1.0,3.0,3,15,-12.0
59,AimBig Employment DUBBO,0212870K,MENH,1.0,8.0,2,13,-5.0
60,AimBig Employment DUBBO,0212871K,MUSK,0.0,2.0,0,5,-3.0
61,AimBig Employment EPPING,0212820K,MENH,15.0,49.0,14,94,-45.0
62,AimBig Employment EPPING,0212821A,MUSK,8.0,24.0,6,23,1.0
63,AimBig Employment ETTALONG BEACH,0212812K,AALL,7.0,42.0,13,68,-26.0
64,AimBig Employment ETTALONG BEACH,0212881B,AALL,14.0,31.0,16,83,-52.0
65,AimBig Employment FAIRFIELD,0212844H,AALL,22.0,139.0,25,155,-16.0
66,AimBig Employment FAIRFIELD,0212899A,AALL,16.0,63.0,17,98,-35.0
67,AimBig Employment FORTITUDE VALLEY,0212795D,AALL,4.0,15.0,4,33,-18.0
68,AimBig Employment FORTITUDE VALLEY,0212879H,AALL,8.0,41.0,10,65,-24.0
69,AimBig Employment FRANKSTON,0212818F,MENH,17.0,102.0,20,92,10.0
70,AimBig Employment FRANKSTON,0212819G,MUSK,6.0,40.0,7,31,9.0
71,AimBig Employment GLEN INNES,0212828H,AALL,2.0,21.0,6,36,-15.0
72,AimBig Employment GLEN INNES,0212889K,AALL,15.0,59.0,5,50,9.0
73,AimBig Employment GLENORCHY,0212861J,AALL,8.0,28.0,7,30,-2.0
74,AimBig Employment GLENROY,0212817E,AALL,5.0,7.0,3,31,-24.0
75,AimBig Employment GLENROY,0212886G,AALL,7.0,9.0,5,27,-18.0
76,AimBig Employment GOSFORD,0212812K,AALL,1.0,11.0,4,22,-11.0
77,AimBig Employment GOSFORD,0212881B,AALL,1.0,43.0,3,28,15.0
78,AimBig Employment GUNNEDAH,0212814B,AALL,0.0,18.0,0,15,3.0
79,AimBig Employment HEIDELBERG,0212820K,MENH,11.0,44.0,9,53,-9.0
80,AimBig Employment HEIDELBERG,0212821A,MUSK,4.0,11.0,4,11,0.0
81,AimBig Employment HOBART,0212861J,AALL,8.0,28.0,6,32,-4.0
82,AimBig Employment HORNSBY,0212841E,AALL,10.0,16.0,3,22,-6.0
83,AimBig Employment HORNSBY,0212898K,AALL,6.0,29.0,3,32,-3.0
84,AimBig Employment HUONVILLE,0212861J,AALL,0.0,9.0,2,11,-2.0
85,AimBig Employment HURSTVILLE,0212855K,AALL,11.0,23.0,10,52,-29.0
86,AimBig Employment HURSTVILLE,0212904D,AALL,23.0,62.0,17,75,-13.0
87,AimBig Employment INGLEBURN,0212849B,AALL,9.0,26.0,10,39,-13.0
88,AimBig Employment INGLEBURN,0212902B,AALL,4.0,28.0,3,27,1.0
89,AimBig Employment INVERELL,0212828H,AALL,8.0,16.0,8,57,-41.0
90,AimBig Employment INVERELL,0212889K,AALL,10.0,49.0,9,65,-16.0
91,AimBig Employment JOONDALUP,0212833E,MENH,14.0,35.0,16,48,-13.0
92,AimBig Employment KANWAL,0212812K,AALL,10.0,40.0,14,37,3.0
93,AimBig Employment KANWAL,0212881B,AALL,23.0,77.0,23,98,-21.0
94,AimBig Employment LEICHHARDT,0212845J,AALL,29.0,73.0,28,110,-37.0
95,AimBig Employment LEICHHARDT,0212900K,AALL,20.0,66.0,18,131,-65.0
96,AimBig Employment LISMORE,0212829J,AALL,6.0,39.0,7,50,-11.0
97,AimBig Employment LIVERPOOL,0212848A,AALL,16.0,70.0,21,126,-56.0
98,AimBig Employment LIVERPOOL,0212901A,AALL,15.0,61.0,20,88,-27.0
99,AimBig Employment MACKAY,0212802J,MENH,6.0,14.0,5,40,-26.0
100,AimBig Employment MACKAY,0212803K,MUSK,5.0,12.0,2,20,-8.0
101,AimBig Employment MAITLAND,0212813A,AALL,12.0,38.0,8,42,-4.0
102,AimBig Employment MAITLAND,0212882C,AALL,18.0,58.0,16,88,-30.0
103,AimBig Employment MARRICKVILLE,0212845J,AALL,13.0,25.0,10,42,-17.0
104,AimBig Employment MARRICKVILLE,0212900K,AALL,13.0,64.0,13,73,-9.0
105,AimBig Employment MARYBOROUGH,0212858C,AALL,2.0,2.0,3,13,-11.0
106,AimBig Employment MARYBOROUGH,0212894G,AALL,0.0,3.0,1,10,-7.0
107,AimBig Employment MELBOURNE,0212825E,MUSK,16.0,29.0,10,28,1.0
108,AimBig Employment MERRYLANDS,0212898K,AALL,1.0,1.0,0,0,1.0
109,AimBig Employment MILDURA,0212866C,MENH,1.0,22.0,3,17,5.0
110,AimBig Employment MILE END,0212791K,MENH,12.0,31.0,9,46,-15.0
111,AimBig Employment MILES,0212838K,AALL,5.0,18.0,4,22,-4.0
112,AimBig Employment MILES,0212897K,AALL,1.0,9.0,2,20,-11.0
113,AimBig Employment MIRANDA,0212855K,AALL,9.0,46.0,9,56,-10.0
114,AimBig Employment MIRANDA,0212904D,AALL,15.0,39.0,13,64,-25.0
115,AimBig Employment MITCHELTON,0212795D,AALL,11.0,29.0,8,30,-1.0
116,AimBig Employment MITCHELTON,0212879H,AALL,11.0,39.0,10,52,-13.0
117,AimBig Employment MOONEE PONDS,0212817E,AALL,27.0,146.0,28,194,-48.0
118,AimBig Employment MOONEE PONDS,0212886G,AALL,34.0,141.0,34,183,-42.0
119,AimBig Employment MOUNT DRUITT,0212853J,MENH,13.0,45.0,18,63,-18.0
120,AimBig Employment MOUNT DRUITT,0212854K,MUSK,8.0,19.0,7,33,-14.0
121,AimBig Employment NAMBUCCA HEADS,0212826F,AALL,3.0,19.0,3,9,10.0
122,AimBig Employment NERANG,0212793B,MENH,6.0,7.0,3,21,-14.0
123,AimBig Employment NEWPORT,0212822B,MENH,10.0,27.0,9,49,-22.0
124,AimBig Employment NEWPORT,0212823C,MUSK,9.0,14.0,10,52,-38.0
125,AimBig Employment NORTH LAKES,0212795D,AALL,29.0,129.0,39,152,-23.0
126,AimBig Employment NORTH LAKES,0212879H,AALL,25.0,89.0,24,117,-28.0
127,AimBig Employment ORANGE,0212872A,MENH,2.0,15.0,2,12,3.0
128,AimBig Employment ORANGE,0212873B,MUSK,0.0,14.0,1,4,10.0
129,AimBig Employment OSBORNE PARK,0212833E,MENH,5.0,10.0,1,9,1.0
130,AimBig Employment PARRAMATTA,0212841E,AALL,21.0,61.0,26,74,-13.0
131,AimBig Employment PARRAMATTA,0212898K,AALL,17.0,77.0,21,93,-16.0
132,AimBig Employment PENRITH,0212850F,AALL,24.0,70.0,22,79,-9.0
133,AimBig Employment PHILLIP,0212836H,MUSK,2.0,2.0,1,3,-1.0
134,AimBig Employment PROSPECT,0212790K,MUSK,6.0,29.0,6,50,-21.0
135,AimBig Employment Pty Ltd BACCHUS MARSH,0212822B,MENH,3.0,3.0,1,5,-2.0
136,AimBig Employment Pty Ltd CAPEL SOUND,0212818F,MENH,0.0,0.0,0,0,0.0
137,AimBig Employment Pty Ltd GEELONG,0212862K,AALL,0.0,1.0,1,10,-9.0
138,AimBig Employment Pty Ltd GEELONG,0212895H,AALL,2.0,11.0,1,7,4.0
139,AimBig Employment Pty Ltd HOPPERS CROSSING,0212822B,MENH,2.0,2.0,0,12,-10.0
140,AimBig Employment Pty Ltd MELTON,0212822B,MENH,1.0,1.0,0,8,-7.0
141,AimBig Employment Pty Ltd MELTON,0212823C,MUSK,3.0,8.0,2,10,-2.0
142,AimBig Employment Pty Ltd PRESTON,0212820K,MENH,1.0,1.0,0,0,1.0
143,AimBig Employment Pty Ltd PRESTON,0212821A,MUSK,0.0,0.0,0,0,0.0
144,AimBig Employment Pty Ltd RESERVOIR,0212820K,MENH,4.0,11.0,4,10,1.0
145,AimBig Employment Pty Ltd RESERVOIR,0212821A,MUSK,5.0,6.0,3,11,-5.0
146,AimBig Employment Pty Ltd ST ALBANS,0212822B,MENH,7.0,11.0,1,11,0.0
147,AimBig Employment Pty Ltd ST ALBANS,0212823C,MUSK,5.0,7.0,3,14,-7.0
148,AimBig Employment Pty Ltd SUNBURY,0212817E,AALL,2.0,2.0,1,4,-2.0
149,AimBig Employment Pty Ltd THOMASTOWN,0212820K,MENH,1.0,1.0,0,6,-5.0
150,AimBig Employment Pty Ltd THOMASTOWN,0212821A,MUSK,0.0,0.0,0,4,-4.0
151,AimBig Employment Pty Ltd. ARMIDALE,0212889K,AALL,1.0,1.0,0,5,-4.0
152,AimBig Employment Pty Ltd. SEATON,0212791K,MENH,2.0,2.0,2,5,-3.0
153,AimBig Employment ROCKDALE,0212855K,AALL,11.0,36.0,13,49,-13.0
154,AimBig Employment ROCKDALE,0212904D,AALL,5.0,25.0,5,42,-17.0
155,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH,7.0,18.0,9,28,-10.0
156,AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK,4.0,10.0,3,26,-16.0
157,AimBig Employment ROCKINGHAM,0212831C,MENH,20.0,66.0,16,77,-11.0
158,AimBig Employment ROCKINGHAM,0212832D,MUSK,4.0,34.0,5,36,-2.0
159,AimBig Employment ROMA,0212838K,AALL,9.0,12.0,7,22,-10.0
160,AimBig Employment ROMA,0212897K,AALL,4.0,21.0,6,30,-9.0
161,AimBig Employment ROSNY PARK,0212861J,AALL,1.0,8.0,1,17,-9.0
162,AimBig Employment SINGLETON,0212816D,AALL,15.0,17.0,11,29,-12.0
163,AimBig Employment SOUTHPORT,0212793B,MENH,6.0,7.0,5,17,-10.0
164,AimBig Employment STRATHPINE,0212795D,AALL,2.0,3.0,2,4,-1.0
165,AimBig Employment SUNSHINE,0212822B,MENH,7.0,17.0,9,36,-19.0
166,AimBig Employment SUNSHINE,0212823C,MUSK,9.0,16.0,18,50,-34.0
167,AimBig Employment SURFERS PARADISE,0212793B,MENH,14.0,42.0,14,59,-17.0
168,AimBig Employment SURRY HILLS,0212845J,AALL,40.0,81.0,31,129,-48.0
169,AimBig Employment SURRY HILLS,0212900K,AALL,16.0,77.0,15,104,-27.0
170,AimBig Employment SYDNEY,0212845J,AALL,9.0,30.0,9,39,-9.0
171,AimBig Employment SYDNEY,0212900K,AALL,11.0,40.0,11,54,-14.0
172,AimBig Employment TAMWORTH,0212814B,AALL,12.0,53.0,7,55,-2.0
173,AimBig Employment TAYLORS LAKES,0212822B,MENH,8.0,17.0,5,44,-27.0
174,AimBig Employment TAYLORS LAKES,0212823C,MUSK,22.0,45.0,24,101,-56.0
175,AimBig Employment THE ENTRANCE,0212812K,AALL,9.0,40.0,11,33,7.0
176,AimBig Employment THE ENTRANCE,0212881B,AALL,14.0,60.0,11,58,2.0
177,AimBig Employment TOOWONG,0212795D,AALL,27.0,54.0,21,84,-30.0
178,AimBig Employment TOOWONG,0212879H,AALL,30.0,135.0,33,124,11.0
179,AimBig Employment WARRNAMBOOL,0212863K,MENH,10.0,46.0,12,39,7.0
180,AimBig Employment WARRNAMBOOL,0212864A,MUSK,2.0,13.0,1,8,5.0
181,AimBig Employment WERRIBEE,0212822B,MENH,24.0,103.0,25,124,-21.0
182,AimBig Employment WERRIBEE,0212823C,MUSK,15.0,48.0,15,73,-25.0
183,AimBig Employment WOLLONGONG,0212857B,MUSK,2.0,17.0,2,13,4.0
184,AimBig Employment WOY WOY,0212812K,AALL,18.0,39.0,11,29,10.0
185,AimBig Employment WOY WOY,0212881B,AALL,17.0,39.0,12,56,-17.0
186,AimBig Employment WYONG,0212812K,AALL,8.0,8.0,7,19,-11.0
187,AimBig Employment WYONG,0212881B,AALL,5.0,29.0,7,37,-8.0
188,Aimbig Employment LAUNCESTON,0212893F,AALL,5.0,25.0,5,26,-1.0
189,Aimbig Employment RICHMOND,0212850F,AALL,3.0,3.0,1,3,0.0
